title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,mode
Legend of the Ghost Lion,Kemco,Kemco,Unreleased,October 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Ghost_Lion_Coverart.png/220px-Ghost_Lion_Coverart.png,https://en.wikipedia.org/wiki/Legend_of_the_Ghost_Lion,Role-playing,Single-player
The Legend of Zelda,Nintendo Research & Development 4,Nintendo,Nintendo,"August 22, 1987","November 15, 1987",https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Legend_of_zelda_cover_%28with_cartridge%29_gold.png/220px-Legend_of_zelda_cover_%28with_cartridge%29_gold.png,https://en.wikipedia.org/wiki/The_Legend_of_Zelda_(video_game),Action-adventure,Single-player
Legendary Wings,Capcom,Capcom,Unreleased,July 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Legendary_Wings_game_flyer.png/220px-Legendary_Wings_game_flyer.png,https://en.wikipedia.org/wiki/Legendary_Wings,"Scrolling shooter, platform","Up to 2 players, simultaneous"
Legends of the Diamond,TOSE,Bandai,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Legends_of_the_Diamond_cover.jpg/220px-Legends_of_the_Diamond_cover.jpg,https://en.wikipedia.org/wiki/Legends_of_the_Diamond,Sports,"Single-player, two-player"
Lemmings,Ocean Software,Sunsoft,Sunsoft,November 1992,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Lemmings-BoxScan.jpg/220px-Lemmings-BoxScan.jpg,https://en.wikipedia.org/wiki/Lemmings_(video_game),"Puzzle, Strategy","Single-player, multiplayer"
L'Empereur,Koei,Koei,Unreleased,November 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/L%27_Empereur_cover.jpg/220px-L%27_Empereur_cover.jpg,https://en.wikipedia.org/wiki/L%27Empereur,Turn-based strategy,Single-player
Les Chevaliers du Zodiaque: La Légende d'or,TOSE,Unreleased,Bandai[7],Unreleased,1987,https://www.mobygames.com/images/covers/l/298283-saint-seiya-ogon-densetsu-nes-front-cover.jpg,https://www.mobygames.com/game/nes/saint-seiya-gon-densetsu,"Action, RPG",
Lethal Weapon,Eurocom,Ocean Software,Ocean Software,April 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Lethal_Weapon_Coverart.png/220px-Lethal_Weapon_Coverart.png,https://en.wikipedia.org/wiki/Lethal_Weapon_(video_game),Action,Single-player
Life Force (NA)Life Force Salamander (EU),Konami,Konami,Konami,August 1988,"November 23, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Salamander_flyer.png/220px-Salamander_flyer.png,https://en.wikipedia.org/wiki/Salamander_(video_game)#Nintendo_Entertainment_System,Scrolling shooter,"Single-player, cooperative"
Little League Baseball: Championship Series,SNK,SNK,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/LittleLeagueBaseballBoxShotNES.jpg/220px-LittleLeagueBaseballBoxShotNES.jpg,https://en.wikipedia.org/wiki/Little_League_Baseball:_Championship_Series,Arcade baseball[1],Single-player[2]  Multiplayer[2]
Little Nemo: The Dream Master,Capcom,Capcom,Nintendo,September 1990,"December 12, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Littlenemocover.png/220px-Littlenemocover.png,https://en.wikipedia.org/wiki/Little_Nemo:_The_Dream_Master,Platform,Single-player
Little Ninja Brothers,Culture Brain,Culture Brain,Culture Brain,December 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Littleninjabrothers-label.jpg/155px-Littleninjabrothers-label.jpg,https://en.wikipedia.org/wiki/Little_Ninja_Brothers,Action RPG,Single player
Little Samson,Takeru,Taito,Taito,November 1992,"March 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Nintendo_Entertainment_System_Little_Samson_cover_art.jpg/220px-Nintendo_Entertainment_System_Little_Samson_cover_art.jpg,https://en.wikipedia.org/wiki/Little_Samson,Platform,Single-player
Lode Runner,Hudson Soft,Brøderbund,Unreleased,September 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Lode_Runner_Coverart.png/220px-Lode_Runner_Coverart.png,https://en.wikipedia.org/wiki/Lode_Runner,Puzzle-platform,Single-player
The Lone Ranger,Konami,Konami,Unreleased,August 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/The_Lone_Ranger_for_NES_%28cover%29.jpg/220px-The_Lone_Ranger_for_NES_%28cover%29.jpg,https://en.wikipedia.org/wiki/The_Lone_Ranger_(video_game),Action-adventure,Single-player
Loopz,"Audiogenic, Milestone srl",Mindscape,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Loopz_Coverart.png/220px-Loopz_Coverart.png,https://en.wikipedia.org/wiki/Loopz,Puzzle,Single-player
Low G Man: The Low Gravity Man,KID,Taxan,Nintendo,September 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Nintendo_Entertainment_System_Low_G_Man_-_The_Low_Gravity_Man_cover_art.jpg/220px-Nintendo_Entertainment_System_Low_G_Man_-_The_Low_Gravity_Man_cover_art.jpg,https://en.wikipedia.org/wiki/Low_G_Man:_The_Low_Gravity_Man,"Action, platform",Single-player
Lunar Pool,Compile,FCI,FCI,October 1987,1987,https://upload.wikimedia.org/wikipedia/en/2/25/LunarPoolNESBoxart.jpg,https://en.wikipedia.org/wiki/Lunar_Pool,Cue sports,"Single-player, multiplayer"
M.C. Kids (NA)McDonaldland (EU),Virgin Interactive,Virgin Interactive,Ocean Software,February 1992,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/8/89/M.C._Kids_cover.png/220px-M.C._Kids_cover.png,https://en.wikipedia.org/wiki/M.C._Kids,Platform game,"Single-player, Two-player"
M.U.L.E.,Eastridge Technology,Mindscape,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Mule_box.jpg/220px-Mule_box.jpg,https://en.wikipedia.org/wiki/M.U.L.E.,Business simulation game,Single-player2-4 player multiplayer
M.U.S.C.L.E.,TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/MUSCLE_game.jpg/220px-MUSCLE_game.jpg,https://en.wikipedia.org/wiki/M.U.S.C.L.E._(video_game),Action  Wrestling,Single-player  Multiplayer (up to two players)
Mach Rider,Nintendo,Nintendo,Nintendo,August 1986,1987,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Mach_rider_boxart.png/220px-Mach_rider_boxart.png,https://en.wikipedia.org/wiki/Mach_Rider,Vehicular combat,Single-player
Mad Max,Eastridge Technology,Mindscape,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Mad_Max_Coverart.png/220px-Mad_Max_Coverart.png,https://en.wikipedia.org/wiki/Mad_Max_(1990_video_game),Action,Single-player
The Mafat Conspiracy: Golgo 13,Aicom,Vic Tokai,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/The_Mafat_Conspiracy_cover.jpg/220px-The_Mafat_Conspiracy_cover.jpg,https://en.wikipedia.org/wiki/The_Mafat_Conspiracy,Action adventure,Single-player
Magic Darts,SETA,Romstar,Unreleased,September 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/f/f5/Magic_Darts_Cover.jpg,https://en.wikipedia.org/wiki/Magic_Darts,Sports,"Single-player, Multiplayer"
Magic Johnson's Fast Break,Software Creations,Tradewest,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Magic_Johnson%27s_Basketball_Coverart.png/220px-Magic_Johnson%27s_Basketball_Coverart.png,https://en.wikipedia.org/wiki/Magic_Johnson%27s_Fast_Break,Sports (basketball),"Single-player, two-player, four-player (NES)"
The Magic of Scheherazade,Culture Brain,Culture Brain,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Magic_of_Scherezade.JPG/220px-Magic_of_Scherezade.JPG,https://en.wikipedia.org/wiki/The_Magic_of_Scheherazade,Action-adventureRole-playing,Single-player
Magician,Eurocom,Taxan,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Magician_Cover.jpg/220px-Magician_Cover.jpg,https://en.wikipedia.org/wiki/Magician_(video_game),Action role-playing game,Single-player
MagMax,Nihon Bussan,FCI,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MagMax_Cover.jpg/250px-MagMax_Cover.jpg,https://en.wikipedia.org/wiki/MagMax,Horizontally scrolling shooter,
Mah Jong[c],Nintendo,Unreleased,Unreleased,Unreleased,Unreleased,https://www.mobygames.com/images/covers/l/636792-mahjong-nintendo-switch-front-cover.png,https://www.mobygames.com/game/mahjong__,Strategy,
Major League Baseball,Atlus,LJN,Unreleased,April 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/MajorLeagueBaseballLJNCover.jpg/220px-MajorLeagueBaseballLJNCover.jpg,https://en.wikipedia.org/wiki/Major_League_Baseball_(video_game),Sports (with 3D graphics)[1],Single-player  Multiplayer (up to 2 players)
Maniac Mansion,"Lucasfilm Games, Realtime Associates",Jaleco,Jaleco,September 1990,"October 22, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Maniac_Mansion_artwork.jpg/220px-Maniac_Mansion_artwork.jpg,https://en.wikipedia.org/wiki/Maniac_Mansion,Graphic adventure,Single-player
Mappy-Land,TOSE,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Mappy_Land_box_art.jpg/220px-Mappy_Land_box_art.jpg,https://en.wikipedia.org/wiki/Mappy-Land,Platform game,Single-player
Marble Madness,Rare,Milton Bradley Company,Milton Bradley Company,March 1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/MarbleMadness_arcadeflyer.png/220px-MarbleMadness_arcadeflyer.png,https://en.wikipedia.org/wiki/Marble_Madness,"Platform, racing",Up to 2 players simultaneously
Mario Bros.,Nintendo Research & Development 1,Nintendo,Nintendo,"June 1, 1986","September 1, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mariobrothers.png/220px-Mariobrothers.png,https://en.wikipedia.org/wiki/Mario_Bros.,Platform,"Single-player, multiplayer"
Mario Bros. (Classic Series),Nintendo Research & Development 1,Unreleased,Nintendo,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mariobrothers.png/220px-Mariobrothers.png,https://en.wikipedia.org/wiki/Mario_Bros.,Platform,"Single-player, multiplayer"
Mario Is Missing!,Radical Entertainment,Software Toolworks,Mindscape,July 1993,June 1994,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Mario_Is_Missing_cover.jpg/220px-Mario_Is_Missing_cover.jpg,https://en.wikipedia.org/wiki/Mario_Is_Missing!,Educational,Single-player
Mario's Time Machine,Radical Entertainment,Software Toolworks,Unreleased,June 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Mario%27s_Time_Machine_SNES.jpg/250px-Mario%27s_Time_Machine_SNES.jpg,https://en.wikipedia.org/wiki/Mario%27s_Time_Machine,Educational,Single-player
Mechanized Attack,SNK,SNK,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/MechanizedAttack.jpg/220px-MechanizedAttack.jpg,https://en.wikipedia.org/wiki/Mechanized_Attack,Rail shooter,Single-player
Mega Man,Capcom,Capcom,Capcom,December 1987,"December 13, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Rockman_1987.jpg/220px-Rockman_1987.jpg,https://en.wikipedia.org/wiki/Mega_Man_(video_game),"Action, platform",Single-player
Mega Man 2[a],Capcom,Capcom,Capcom,June 1989,"December 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Megaman2_box.jpg/220px-Megaman2_box.jpg,https://en.wikipedia.org/wiki/Mega_Man_2,"Action, platform",Single-player
Mega Man 3,Capcom,Capcom,Nintendo,November 1990,"February 20, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Megaman3_box.jpg/220px-Megaman3_box.jpg,https://en.wikipedia.org/wiki/Mega_Man_3,"Action, platform",Single-player
Mega Man 4,Capcom,Capcom,Nintendo,January 1992,"January 21, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Megaman4_box.jpg/220px-Megaman4_box.jpg,https://en.wikipedia.org/wiki/Mega_Man_4,"Action, platform",Single-player
Mega Man 5,Capcom,Capcom,Nintendo,December 1992,"November 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Megaman5_box.jpg/220px-Megaman5_box.jpg,https://en.wikipedia.org/wiki/Mega_Man_5,"Action, platform",Single-player
Mega Man 6,Capcom,Nintendo,Unreleased,March 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Megaman6_box.jpg/220px-Megaman6_box.jpg,https://en.wikipedia.org/wiki/Mega_Man_6,"Action, platform",Single-player
Mendel Palace,Game Freak,Hudson Soft,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Mendel_Palace_Cover.jpg/220px-Mendel_Palace_Cover.jpg,https://en.wikipedia.org/wiki/Mendel_Palace,"Action, puzzle","Single-player, multiplayer"
Metal Gear,Konami,Ultra Games,Konami,June 1988,1989,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Metal_Gear_cover.jpg/250px-Metal_Gear_cover.jpg,https://en.wikipedia.org/wiki/Metal_Gear_(video_game),"Action-adventure, stealth",Single-player
Metal Mech: Man & Machine,Sculptured Software,Jaleco,Unreleased,March 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/MetalMechManMachineBoxShotNES.jpg/220px-MetalMechManMachineBoxShotNES.jpg,https://en.wikipedia.org/wiki/Metal_Mech,Action[1],Single-player[3]
Metal Storm,Tamtex,Irem,Unreleased,February 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Metal_Storm_North_American_NES_box_art.jpg/220px-Metal_Storm_North_American_NES_box_art.jpg,https://en.wikipedia.org/wiki/Metal_Storm_(video_game),"Action, platforming",Single-player
Metroid,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"August 15, 1987","January 15, 1988",https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Metroid_boxart.jpg/220px-Metroid_boxart.jpg,https://en.wikipedia.org/wiki/Metroid_(video_game),Action-adventure,Single-player
Michael Andretti's World GP,Human Entertainment,American Sammy,Unreleased,June 1990,Unreleased,https://www.mobygames.com/images/covers/l/746773-michael-andretti-s-world-gp-nes-manual.jpg,https://en.wikipedia.org/wiki/Michael_Andretti%27s_World_GP,Racing,"Single-player, multiplayer"
Mickey Mousecapade,Hudson Soft,Capcom,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/MickeyMousecapadeBoxart.jpg/220px-MickeyMousecapadeBoxart.jpg,https://en.wikipedia.org/wiki/Mickey_Mousecapade,Platformer,Single-player
Mickey's Adventures in Numberland,Beam Software,Hi Tech Expressions,Unreleased,March 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Mickey%27s_Adventures_in_Numberland_Cover.jpg/220px-Mickey%27s_Adventures_in_Numberland_Cover.jpg,https://en.wikipedia.org/wiki/Mickey%27s_Adventures_in_Numberland,Edutainment,Single-player
Mickey's Safari in Letterland,Beam Software,Hi Tech Expressions,Unreleased,March 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/5/53/Mickey%27s_Safari_in_Letterland_Cover.jpg,https://en.wikipedia.org/wiki/Mickey%27s_Safari_in_Letterland,Edutainment[1]platformer,Single-player
Might and Magic Book One: The Secret of the Inner Sanctum,New World Computing,American Sammy,Unreleased,August 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/M%26MI.jpg/220px-M%26MI.jpg,https://en.wikipedia.org/wiki/Might_and_Magic_Book_One:_The_Secret_of_the_Inner_Sanctum,Role-playing,Single-player
Mighty Bomb Jack,Tecmo,Tecmo,Tecmo,July 1987,1987,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Mighty_Bomb_Jack_cover.jpg/220px-Mighty_Bomb_Jack_cover.jpg,https://en.wikipedia.org/wiki/Mighty_Bomb_Jack,Platform,Single-player2-player alternating
Mighty Final Fight,Capcom,Capcom,Capcom,July 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Mighty_Final_Fight_%28American_cover%29.jpg/220px-Mighty_Final_Fight_%28American_cover%29.jpg,https://en.wikipedia.org/wiki/Mighty_Final_Fight,Beat 'em up,Single-player
Mike Tyson's Punch-Out!!,Nintendo Research & Development 3,Nintendo,Nintendo,"October 18, 1987","December 15, 1987",https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Punch-out_mrdream_boxart.PNG/220px-Punch-out_mrdream_boxart.PNG,https://en.wikipedia.org/wiki/Punch-Out!!_(NES),Sports (boxing)  Fighting,Single-player
Millipede,HAL Laboratory,HAL America,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Millipede_Poster.png/225px-Millipede_Poster.png,https://en.wikipedia.org/wiki/Millipede_(video_game),Fixed shooter,"Single-player, 2 players alternating"
Milon's Secret Castle,Hudson Soft,Hudson Soft,Unreleased,September 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Milon%27s_Secret_Castle_cover.jpg/220px-Milon%27s_Secret_Castle_cover.jpg,https://en.wikipedia.org/wiki/Milon%27s_Secret_Castle,"Action, puzzle",Single-player
The Miracle Piano Teaching System,Software Toolworks,Software Toolworks,Mindscape,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Miracle_Piano_Teaching_System_cover.jpg/220px-Miracle_Piano_Teaching_System_cover.jpg,https://en.wikipedia.org/wiki/Miracle_Piano_Teaching_System,"music, non-game",Single player
Mission: Impossible,Konami,Ultra Games,Palcom Software,September 1990,"November 28, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/MissionImpossibleNESBoxart.jpg/220px-MissionImpossibleNESBoxart.jpg,https://en.wikipedia.org/wiki/Mission:_Impossible_(Nintendo_Entertainment_System),"Action, Third-person shooter",Single-player
Monopoly,Sculptured Software,Parker Brothers,Parker Brothers,May 1991,October 1992,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Monopoly_%281991%29_Video_Game_Cover.jpg/220px-Monopoly_%281991%29_Video_Game_Cover.jpg,https://en.wikipedia.org/wiki/Monopoly_(1991_video_game),"Strategy, board game",
Monster in My Pocket,Konami,Konami,Palcom Software,January 1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Monster_in_my_Pocket_cover_%28NES%29.PNG/220px-Monster_in_my_Pocket_cover_%28NES%29.PNG,https://en.wikipedia.org/wiki/Monster_in_My_Pocket,Platformer,"Single Player, Co-op"
Monster Party,Human Entertainment,Bandai,Unreleased,June 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Monster_Party_Box.JPG/220px-Monster_Party_Box.JPG,https://en.wikipedia.org/wiki/Monster_Party,Platform game,Single player
Monster Truck Rally,Realtime Associates,INTV,Unreleased,September 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/MonsterTruckRallyBoxShotNES.jpg/220px-MonsterTruckRallyBoxShotNES.jpg,https://en.wikipedia.org/wiki/Monster_Truck_Rally_(video_game),Off-road racing,"Single-player, multiplayer (1–4 players), Track Builder"
Motor City Patrol,Source Research & Development,Matchbox,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Motor_City_Patrol_Cover.jpg/220px-Motor_City_Patrol_Cover.jpg,https://en.wikipedia.org/wiki/Motor_City_Patrol,Mission-based driving[1],Single-player
Mr. Gimmick,Sunsoft,Unreleased,Sunsoft,Unreleased,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Gimmick_boxart.PNG/220px-Gimmick_boxart.PNG,https://en.wikipedia.org/wiki/Gimmick!,Platform,Single-player
Ms. Pac-Man,Now Production,Namco,Unreleased,November 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Ms._Pac-Man_flyer.png/220px-Ms._Pac-Man_flyer.png,https://en.wikipedia.org/wiki/Ms._Pac-Man,Maze,"Single-player, multiplayer (alternating turns)"
Muppet Adventure: Chaos at the Carnival,Mind's Eye,Hi Tech Expressions,Unreleased,November 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Muppet_Adventure_Chaos_at_the_Carnival_Cover.jpg/220px-Muppet_Adventure_Chaos_at_the_Carnival_Cover.jpg,https://en.wikipedia.org/wiki/Muppet_Adventure:_Chaos_at_the_Carnival,Action,"Single-player, multiplayer"
The Mutant Virus: Crisis in a Computer World,Rocket Science Productions,American Softworks,Unreleased,April 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/The_Mutant_Virus_-_Crisis_in_a_Computer_World_Coverart.jpg/220px-The_Mutant_Virus_-_Crisis_in_a_Computer_World_Coverart.jpg,https://en.wikipedia.org/wiki/The_Mutant_Virus:_Crisis_in_a_Computer_World,Action[1],Single-player
Mystery Quest,Carry Lab,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/MysteryQuestNABoxart.jpg/220px-MysteryQuestNABoxart.jpg,https://en.wikipedia.org/wiki/Mystery_Quest_(video_game),Platform,Single-player
NARC,Rare,Acclaim Entertainment,Unreleased,August 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Narc_arcade_flyer.png/220px-Narc_arcade_flyer.png,https://en.wikipedia.org/wiki/Narc_(video_game),Run and gun,Up to 2 players simultaneously
NES Open Tournament Golf,Nintendo Research & Development 2,Nintendo,Nintendo,"September 29, 1991","June 18, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Nesopen.jpg/220px-Nesopen.jpg,https://en.wikipedia.org/wiki/NES_Open_Tournament_Golf,Sports,Multiplayer
NES Play Action Football,TOSE,Nintendo,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/8/86/NES_Play_Action_Football_Cover.jpg,https://en.wikipedia.org/wiki/NES_Play_Action_Football,Traditional football simulation[1],"Single-player, multiplayer"
New Ghostbusters II,HAL Laboratory,Unreleased,HAL Laboratory,Unreleased,1990,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/New_Ghostbusters_2_Coverart.png/220px-New_Ghostbusters_2_Coverart.png,https://en.wikipedia.org/wiki/New_Ghostbusters_II,Action,Single-player
NFL Football,Atlus,LJN,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/NFL_Football_1988_NES_cover.jpg/220px-NFL_Football_1988_NES_cover.jpg,https://en.wikipedia.org/wiki/NFL_(video_game),Traditional football simulation[1][2],Single-player  Multiplayer (up to two players[5])
Nigel Mansell's World Championship Racing,Gremlin Graphics,GameTek,Gremlin Interactive,October 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Nigel_Mansell%27s_World_Championship_Racing_Cover.jpg/220px-Nigel_Mansell%27s_World_Championship_Racing_Cover.jpg,https://en.wikipedia.org/wiki/Nigel_Mansell%27s_World_Championship_Racing,Racing,Single-player
A Nightmare on Elm Street,Rare,LJN,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/A_Nightmare_on_Elm_Street_NES_box_art.jpg/220px-A_Nightmare_on_Elm_Street_NES_box_art.jpg,https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(video_game),Platforming,Single-player 
Nightshade,Beam Software,Ultra Games,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Nightshade_%28NES%29_Coverart.png/220px-Nightshade_%28NES%29_Coverart.png,https://en.wikipedia.org/wiki/Nightshade_(1991_video_game),Action-adventure,Single-player
Ninja Crusaders,NMK,American Sammy,Unreleased,December 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/NinjaCrusdaersJPBoxShotNES.jpg/220px-NinjaCrusdaersJPBoxShotNES.jpg,https://en.wikipedia.org/wiki/Ninja_Crusaders,2D action platformer[1],Single-player or multiplayer (up to 2 players)
Ninja Gaiden (NA)Shadow Warriors (EU),Tecmo,Tecmo,Tecmo,March 1989,"August 15, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Ninja_Gaiden_%28NES%29.jpg/220px-Ninja_Gaiden_%28NES%29.jpg,https://en.wikipedia.org/wiki/Ninja_Gaiden_(Nintendo_Entertainment_System),"Platform, hack-and-slash[2]",Single-player
Ninja Gaiden II: The Dark Sword of Chaos (NA)Shadow Warriors II (EU),Tecmo,Tecmo,Tecmo,May 1990,"October 27, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Ninja_Gaiden_II-_The_Dark_Sword_of_Chaos_boxart.jpg/220px-Ninja_Gaiden_II-_The_Dark_Sword_of_Chaos_boxart.jpg,https://en.wikipedia.org/wiki/Ninja_Gaiden_II:_The_Dark_Sword_of_Chaos,Platform,Single-player
Ninja Gaiden III: The Ancient Ship of Doom,Tecmo,Tecmo,Unreleased,August 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Ninja_Gaiden_III_The_Ancient_Ship_of_Doom.jpg/220px-Ninja_Gaiden_III_The_Ancient_Ship_of_Doom.jpg,https://en.wikipedia.org/wiki/Ninja_Gaiden_III:_The_Ancient_Ship_of_Doom,Platform,Single-player
Ninja Kid,TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Ninja_kid.png/220px-Ninja_kid.png,https://en.wikipedia.org/wiki/Ninja_Kid,Platform/Action,Single-player
Nintendo World Cup,Technōs Japan,Nintendo,Nintendo,December 1990,"June 27, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Nintendo_World_Cup_Cover.jpg/220px-Nintendo_World_Cup_Cover.jpg,https://en.wikipedia.org/wiki/Nintendo_World_Cup,Association football video game ,"Tournament (1–2 players against CPU), VS Match (2–4 players)"
Noah's Ark,Source Research & Development,Unreleased,Konami,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Noah%27s_Ark_NES_cover.jpg/220px-Noah%27s_Ark_NES_cover.jpg,https://en.wikipedia.org/wiki/Noah%27s_Ark_(video_game),Platform,Single-player
Nobunaga's Ambition,Koei,Koei,Unreleased,June 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Nobunagas_ambition_gen.jpg/250px-Nobunagas_ambition_gen.jpg,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition,"Wargame, turn-based strategy, tactical role-playing",
Nobunaga's Ambition II,Koei,Koei,Unreleased,April 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Nobunagas_ambition_gen.jpg/250px-Nobunagas_ambition_gen.jpg,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition_II,"Wargame, turn-based strategy, tactical role-playing",
North & South,Kemco,Kemco*Seika,Infogrames,December 1990,"January 23, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/7/72/North_%26_South_Coverart.png/220px-North_%26_South_Coverart.png,https://en.wikipedia.org/wiki/North_%26_South_(video_game),"Strategy, action","Single-player, two player"
