title,developer,publisher_na,publisher_eu,release_na,release_eu,img,wiki_link,genre,multi-support
Dragon Warrior III,Chunsoft,Enix,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dragon_Warrior_III.jpg/220px-Dragon_Warrior_III.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_III,Role-playing,False
Dragon Warrior IV,Chunsoft,Enix,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dragon_Quest_IV_cover.jpg/220px-Dragon_Quest_IV_cover.jpg,https://en.wikipedia.org/wiki/Dragon_Quest_IV,Role-playing,False
Dragon's Lair,MotiveTime,CSG Imagesoft,Elite Systems,1990,1992,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon%27s_Lair_NES_cover.jpg/220px-Dragon%27s_Lair_NES_cover.jpg,https://en.wikipedia.org/wiki/Dragon%27s_Lair_(NES_game),Cinematic platformer,True
Dropzone,Eurocom,Unreleased,Mindscape,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Dropzone_Original_Cover_Art.jpg/220px-Dropzone_Original_Cover_Art.jpg,https://en.wikipedia.org/wiki/Dropzone,Scrolling shooter,False
Duck Hunt,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,1985,1987,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/DuckHuntBox.jpg/220px-DuckHuntBox.jpg,https://en.wikipedia.org/wiki/Duck_Hunt,"Light gun shooter, sports, shooting gallery",True
DuckTales[a],Capcom,Capcom,Capcom,1989,1990,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/DuckTales_NES_Cover.png/220px-DuckTales_NES_Cover.png,https://en.wikipedia.org/wiki/DuckTales_(video_game),Platform,False
DuckTales 2,Make Software,Capcom,Capcom,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Ducktales_2_cover.png/220px-Ducktales_2_cover.png,https://en.wikipedia.org/wiki/DuckTales_2,Platform,False
Dungeon Magic: Sword of the Elements,Natsume,Taito,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/8/85/Dungeon_Magic_Sword_of_the_Elements.jpg,https://en.wikipedia.org/wiki/Dungeon_Magic:_Sword_of_the_Elements,Role-playing game,False
Dusty Diamond's All-Star Softball,TOSE,Brøderbund,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Dusty_Diamond%27s_All-Star_Softball_Cover.jpg/220px-Dusty_Diamond%27s_All-Star_Softball_Cover.jpg,https://en.wikipedia.org/wiki/Dusty_Diamond%27s_All-Star_Softball,Sports  ,True
Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Dynowarztitle.PNG/220px-Dynowarztitle.PNG,https://en.wikipedia.org/wiki/Dynowarz:_Destruction_of_Spondylus,Platformer,False
Elevator Action,Micronics,Taito,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Elevator_Action.png/220px-Elevator_Action.png,https://en.wikipedia.org/wiki/Elevator_Action,"Platform, action",True
Eliminator Boat Duel,Sculptured Software,Electro Brain,Storm,1991,1993,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Eliminator_Boat_Duel_cover.jpg/220px-Eliminator_Boat_Duel_cover.jpg,https://en.wikipedia.org/wiki/Eliminator_Boat_Duel,Racing,True
Elite,David BrabenIan Bell,Unreleased,Imagineer,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Elite_org_cover.jpg/220px-Elite_org_cover.jpg,https://en.wikipedia.org/wiki/Elite_(video_game),Space trading and combat simulator,False
Excitebike,Nintendo Research & Development 1,Nintendo,Nintendo,1985,1986,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Excitebike_cover.jpg/220px-Excitebike_cover.jpg,https://en.wikipedia.org/wiki/Excitebike,Racing,True
F-15 Strike Eagle,MicroProse,MicroProse,MicroProse,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/F-15_Strike_Eagle_Coverart.jpg/220px-F-15_Strike_Eagle_Coverart.jpg,https://en.wikipedia.org/wiki/F-15_Strike_Eagle_(video_game),Air combat simulation,False
F-117A Stealth Fighter,MicroProse,MicroProse,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/F-117A_Stealth_Fighter_cover.png/220px-F-117A_Stealth_Fighter_cover.png,https://en.wikipedia.org/wiki/F-117A_Stealth_Fighter,Combat flight simulator,False
Family Feud,Beam Software,GameTek,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Logo_of_Family_Feud.png/250px-Logo_of_Family_Feud.png,https://www.mobygames.com/game/nes/family-feud____,Strategy,True
Faria: A World of Mystery and Danger,Game Arts,Nexoft,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/Faria_cover.jpg/220px-Faria_cover.jpg,https://en.wikipedia.org/wiki/Faria:_A_World_of_Mystery_and_Danger,Action role-playing,False
Faxanadu,Hudson Soft,Nintendo,Nintendo,1989,1990,https://upload.wikimedia.org/wikipedia/en/5/57/Faxanadu_NES_US_box.jpg,https://en.wikipedia.org/wiki/Faxanadu,Action role-playing game,False
Felix the Cat,Shimada Kikaku,Hudson Soft,Hudson Soft,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/FelixNESBoxart.JPG/220px-FelixNESBoxart.JPG,https://en.wikipedia.org/wiki/Felix_the_Cat_(video_game),Platform,False
Ferrari Grand Prix Challenge,System 3,Acclaim Entertainment,Acclaim Entertainment,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/F-1_Hero_MD.jpg/220px-F-1_Hero_MD.jpg,https://en.wikipedia.org/wiki/F-1_Hero_MD,Racing,False
Fester's Quest,Sunsoft,Sunsoft,Sunsoft,1989,1990,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/FestersQuest.jpg/220px-FestersQuest.jpg,https://en.wikipedia.org/wiki/Fester%27s_Quest,Run and gun / Adventure,False
Final Fantasy,Square,Nintendo,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/FF1_USA_boxart.jpg/220px-FF1_USA_boxart.jpg,https://en.wikipedia.org/wiki/Final_Fantasy_(video_game),Role-playing,False
Fire 'n Ice (NA)Solomon's Key 2 (EU),Tecmo,Tecmo,Tecmo,1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Solomon%27s_Key_2_cover.jpg/220px-Solomon%27s_Key_2_cover.jpg,https://en.wikipedia.org/wiki/Fire_%27n_Ice,Puzzle game,False
Fisher-Price: Firehouse Rescue,Imagineering,GameTek,Unreleased,1992,Unreleased,https://www.mobygames.com/images/shots/l/246775-fisher-price-firehouse-rescue-nes-screenshot-official-fisher.png,https://www.mobygames.com/game/fisher-price-firehouse-rescue,"Action, Racing",False
Fisher-Price: I Can Remember,Beam Software,GameTek,Unreleased,1990,Unreleased,https://www.mobygames.com/images/covers/l/175579-fisher-price-i-can-remember-nes-front-cover.jpg,https://www.mobygames.com/game/fisher-price-i-can-remember,"Educational, Puzzle",False
Fisher-Price: Perfect Fit,Beam Software,GameTek,Unreleased,1990,Unreleased,https://www.mobygames.com/images/covers/l/175380-fisher-price-perfect-fit-nes-front-cover.jpg,https://www.mobygames.com/game/fisher-price-perfect-fit,Educational,False
Fist of the North Star,Shouei System,Taxan,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Fist_of_the_North_Star_Coverart.png/220px-Fist_of_the_North_Star_Coverart.png,https://en.wikipedia.org/wiki/Fist_of_the_North_Star_(1987_video_game),Action,False
Flight of the Intruder (NA)Phantom Air Mission (EU),Imagineering,Mindscape,Activision,1991,1991,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Flight_of_the_Intruder_Cover.jpg/220px-Flight_of_the_Intruder_Cover.jpg,https://en.wikipedia.org/wiki/Flight_of_the_Intruder_(video_game),Flight simulator,False
The Flintstones: The Rescue of Dino & Hoppy,"Taito, Sol",Taito,Taito,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Flintstones_Rescue_of_Dino_%26_Hoppy.png/220px-Flintstones_Rescue_of_Dino_%26_Hoppy.png,https://en.wikipedia.org/wiki/The_Flintstones:_The_Rescue_of_Dino_%26_Hoppy,Action platformer,False
The Flintstones: Surprise at Dinosaur Peak,"Taito, Sol",Taito,Taito,1994,1994,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/FlintDinoPeakEUBoxShotNES.jpg/220px-FlintDinoPeakEUBoxShotNES.jpg,https://en.wikipedia.org/wiki/The_Flintstones:_Surprise_at_Dinosaur_Peak,Platform,False
Flying Dragon: The Secret Scroll,Culture Brain,Culture Brain,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Flying_Dragon_The_Secret_Scroll_Cover.jpg/250px-Flying_Dragon_The_Secret_Scroll_Cover.jpg,https://en.wikipedia.org/wiki/Flying_Dragon:_The_Secret_Scroll,Fighting  role-playing video game,True
Flying Warriors,Culture Brain,Culture Brain,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/6/61/FW_NES.PNG,https://en.wikipedia.org/wiki/Flying_Warriors,Action,False
Formula 1 Sensation,Konami,Unreleased,Palcom Software,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/F-1_Sensation.jpg/220px-F-1_Sensation.jpg,https://en.wikipedia.org/wiki/F-1_Sensation,Racing,True
Formula One: Built to Win,Winkysoft,SETA,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Formula_One_Built_to_Win_Cover.jpg/220px-Formula_One_Built_to_Win_Cover.jpg,https://en.wikipedia.org/wiki/Formula_One:_Built_to_Win,Formula One racing,False
Fox's Peter Pan and the Pirates: The Revenge of Captain Hook,"Richard Seaborne, Equilibrium",THQ,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Peter_Pan_and_the_Pirates_NES_cover.jpg/220px-Peter_Pan_and_the_Pirates_NES_cover.jpg,https://en.wikipedia.org/wiki/Peter_Pan_and_the_Pirates_(video_game),Side-scrolling,False
Frankenstein: The Monster Returns,TOSE,Bandai,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Frankenstein_The_Monster_Returns_Cover.jpg/220px-Frankenstein_The_Monster_Returns_Cover.jpg,https://en.wikipedia.org/wiki/Frankenstein:_The_Monster_Returns,Action,False
Freedom Force,Sunsoft,Sunsoft,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Freedom_Force_Video_Game_Boxcover.jpg/250px-Freedom_Force_Video_Game_Boxcover.jpg,https://en.wikipedia.org/wiki/Freedom_Force_(video_game),Light gun shooter action,True
Friday the 13th,Atlus,LJN,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/b/be/Friday_the_13th_NES.png,https://en.wikipedia.org/wiki/Friday_the_13th_(NES_video_game),Survival horror,False
Fun House,Realtime Associates,Hi Tech Expressions,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Fun_House_Cover.jpg/220px-Fun_House_Cover.jpg,https://en.wikipedia.org/wiki/Fun_House_(video_game),Action/Shooter,True
G.I. Joe: A Real American Hero,KID,Taxan,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/G.I._Joe_NES_Cover.jpg/220px-G.I._Joe_NES_Cover.jpg,https://en.wikipedia.org/wiki/G.I._Joe_(NES_video_game),"Action, platform, run and gun",False
G.I. Joe: The Atlantis Factor,KID,Capcom,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/G.I._Joe_The_Atlantis_Factor_Cover.jpg/220px-G.I._Joe_The_Atlantis_Factor_Cover.jpg,https://en.wikipedia.org/wiki/G.I._Joe:_The_Atlantis_Factor,2D action platformer,False
Galaga: Demons of Death (NA)Galaga (EU),Namco,Bandai,Bandai,1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Galaga_flyer.jpg/220px-Galaga_flyer.jpg,https://en.wikipedia.org/wiki/Galaga,Fixed shooter,True
Galaxy 5000,Activision,Activision,Activision,1991,1991,https://upload.wikimedia.org/wikipedia/en/b/b0/Galaxy5000.jpg,https://en.wikipedia.org/wiki/Galaxy_5000,Racing game,True
Gargoyle's Quest II: The Demon Darkness,Capcom,Capcom,Capcom,1992,1993,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Gargoylesquest2.jpg/220px-Gargoylesquest2.jpg,https://en.wikipedia.org/wiki/Gargoyle%27s_Quest_II,Action-adventure,False
Gauntlet[b],Tengen,Tengen,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Gauntlet_game_flyer.png/220px-Gauntlet_game_flyer.png,https://en.wikipedia.org/wiki/Gauntlet_(NES_video_game),Hack and slash  Dungeon crawl,True
Gauntlet II,Eastridge Technology,Mindscape,Mindscape,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Gauntlet_II_game_flyer.png/220px-Gauntlet_II_game_flyer.png,https://en.wikipedia.org/wiki/Gauntlet_II,"Hack and slash, dungeon crawl",True
Gemfire,Koei,Koei,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/GemfireSNES_boxart.jpg/220px-GemfireSNES_boxart.jpg,https://en.wikipedia.org/wiki/Gemfire,"Turn-based strategy, turn-based tactics",True
Genghis Khan,Koei,Koei,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Genghis_Khan_Cover.jpg/220px-Genghis_Khan_Cover.jpg,https://en.wikipedia.org/wiki/Genghis_Khan_(video_game),Turn-based strategy,True
George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,Acclaim Entertainment,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/George_Foreman%27s_KO_Boxing_Cover.jpg/220px-George_Foreman%27s_KO_Boxing_Cover.jpg,https://en.wikipedia.org/wiki/George_Foreman%27s_KO_Boxing,"Sports, Fighting",True
Ghostbusters,Bits Corporation,Activision,Unreleased,1988,Unreleased,https://www.mobygames.com/images/covers/l/19977-ghostbusters-atari-2600-front-cover.jpg,https://www.mobygames.com/game/ghostbusters,Action,False
Ghostbusters II,Imagineering,Activision,Activision,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ghostbusters2nes.jpg/220px-Ghostbusters2nes.jpg,https://en.wikipedia.org/wiki/Ghostbusters_II_(NES_video_game),Action,False
Ghosts 'n Goblins (NA)Ghost 'n Goblins (EU),Micronics,Capcom,Capcom,1986,1989,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/GhostsnGoblins_flyer.jpg/220px-GhostsnGoblins_flyer.jpg,https://en.wikipedia.org/wiki/Ghosts_%27n_Goblins_(video_game),Platform,True
Ghoul School,Imagineering,Electro Brain,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Ghoul_School_Cover.jpg/220px-Ghoul_School_Cover.jpg,https://en.wikipedia.org/wiki/Ghoul_School,"Action, survival horror",False
Goal!,TOSE,Jaleco,Jaleco,1989,1994,https://upload.wikimedia.org/wikipedia/en/d/d1/NesGoal%21.jpg,https://en.wikipedia.org/wiki/Goal!_(video_game),Traditional soccer simulation,True
Goal! Two (NA/ES)Eric Cantona Football Challenge Goal! 2 (FR),TOSE,Jaleco,Jaleco,1992,1992,https://upload.wikimedia.org/wikipedia/en/1/14/Goal%21_Two_%28video_game_box_art%29.jpg,https://en.wikipedia.org/wiki/Goal!_Two,Sports game ,True
Godzilla: Monster of Monsters,Compile,Toho,Toho,1989,1991,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg/220px-Godzilla_-_Monster_of_Monsters_%28video_game_box_art%29.jpg,https://en.wikipedia.org/wiki/Godzilla:_Monster_of_Monsters,Action,False
Godzilla 2: War of the Monsters,???,Toho,Unreleased,1992,Unreleased,https://www.mobygames.com/images/shots/l/50822-godzilla-2-war-of-the-monsters-nes-screenshot-title-screen.png,https://en.wikipedia.org/wiki/Godzilla_2:_War_of_the_Monsters,Turn-based strategy,False
Golf,Nintendo,Nintendo,Nintendo,1985,1986,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Golf_Coverart.png/220px-Golf_Coverart.png,https://en.wikipedia.org/wiki/Golf_(1984_video_game),Sports,True
Golf Grand Slam,TOSE,Atlus,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Golf_Grand_Slam.jpg/220px-Golf_Grand_Slam.jpg,https://en.wikipedia.org/wiki/Golf_Grand_Slam_(video_game),Sports,True
Golgo 13: Top Secret Episode,Vic Tokai,Vic Tokai,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg/220px-Golgo_13_Top_Secret_Episode_%28cover_art%29.jpg,https://en.wikipedia.org/wiki/Golgo_13:_Top_Secret_Episode,Action adventure,True
The Goonies II,Konami,Konami,Konami,1987,1988,https://upload.wikimedia.org/wikipedia/en/7/76/Goonies2.jpg,https://en.wikipedia.org/wiki/The_Goonies_II,"Platform game, Metroidvania",False
Gotcha! The Sport!,Atlus,LJN,Unreleased,1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Gotcha_box.JPG/220px-Gotcha_box.JPG,https://en.wikipedia.org/wiki/Gotcha!_The_Sport!,Shooter,True
Gradius,Konami,Konami,Konami,1986,1988,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Gradius_logo.svg/250px-Gradius_logo.svg.png,https://en.wikipedia.org/wiki/Gradius,Scrolling shooter,False
The Great Waldo Search,Radiance,THQ,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/GWS.SNES.jpg/250px-GWS.SNES.jpg,https://en.wikipedia.org/wiki/The_Great_Waldo_Search_(video_game),Puzzle,False
Greg Norman's Golf Power,Gremlin Interactive,Virgin Interactive,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/GregNormansGolfPowerBoxShotNES.jpg/220px-GregNormansGolfPowerBoxShotNES.jpg,https://en.wikipedia.org/wiki/Greg_Norman%27s_Golf_Power,Traditional golf simulation,True
Gremlins 2: The New Batch,Sunsoft,Sunsoft,Sunsoft,1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Gremlins2nes.PNG/250px-Gremlins2nes.PNG,https://en.wikipedia.org/wiki/Gremlins_2:_The_New_Batch_(video_game),Platform game,False
The Guardian Legend,Compile,Brøderbund,Nintendo,1989,1992,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/TGL_Box.jpg/220px-TGL_Box.jpg,https://en.wikipedia.org/wiki/The_Guardian_Legend,"Action-adventure, scrolling shooter",False
Guerrilla War,SNK,SNK,SNK,1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Guerrilla_War_Cover.png/252px-Guerrilla_War_Cover.png,https://en.wikipedia.org/wiki/Guerrilla_War_(video_game),Run and gun,True
Gumshoe,Nintendo Research & Development 1,Nintendo,Nintendo,1986,1988,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Gumshoebox.jpg/220px-Gumshoebox.jpg,https://en.wikipedia.org/wiki/Gumshoe_(video_game),"Platform, shooter",False
Gun-Nac,Compile,ASCII,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/d/d6/Gun_Nac_Cover.jpg,https://en.wikipedia.org/wiki/Gun-Nac,"Vertical-scroller,Shoot 'em up",False
Gun.Smoke,Capcom,Capcom,Capcom,1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Gunsmoke_game_flyer.png/220px-Gunsmoke_game_flyer.png,https://en.wikipedia.org/wiki/Gun.Smoke,Run-and-gun shooter  Western,True
Gyromite,Nintendo Research & Development 1,Nintendo,Nintendo,1985,1986,https://www.mobygames.com/images/covers/l/14581-gyromite-nes-front-cover.jpg,https://www.mobygames.com/game/nes/gyromite,"Action, Puzzle",False
Gyruss,Konami,Ultra Games,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Gyruss_arcadeflyer.png/220px-Gyruss_arcadeflyer.png,https://en.wikipedia.org/wiki/Gyruss,Shoot 'em up,True
Hammerin' Harry,Tamtex,Unreleased,Irem,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/HammerinHarry_arcadeflyer.png/250px-HammerinHarry_arcadeflyer.png,https://en.wikipedia.org/wiki/Hammerin%27_Harry,Platform,False
Harlem Globetrotters,Softie,GameTek,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Harlem_Globetrotters_cover.jpg/220px-Harlem_Globetrotters_cover.jpg,https://en.wikipedia.org/wiki/Harlem_Globetrotters_(video_game),Sports,True
Hatris,Bullet-Proof Software,Bullet-Proof Software,Unreleased,1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Hatris_cover.png/220px-Hatris_cover.png,https://en.wikipedia.org/wiki/Hatris,Puzzle,False
Heavy Barrel,Data East,Data East,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Heavy_barrel_arcadeflyer.png/250px-Heavy_barrel_arcadeflyer.png,https://en.wikipedia.org/wiki/Heavy_Barrel,Run and gun,True
Heavy Shreddin' (NA)Snowboard Challenge (EU),Imagineering,Parker Brothers,Activision,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Heavy_shreddin_cover_NES.jpg/250px-Heavy_shreddin_cover_NES.jpg,https://en.wikipedia.org/wiki/Heavy_Shreddin%27,Snowboarding,False
High Speed,Rare,Tradewest,Tradewest,1991,1994,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/High_Speed_box_art.jpg/220px-High_Speed_box_art.jpg,https://en.wikipedia.org/wiki/High_Speed_(video_game),Simulation ,False
Hogan's Alley,"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,1985,1987,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Hogan%27s_Alley_Cover.jpg/220px-Hogan%27s_Alley_Cover.jpg,https://en.wikipedia.org/wiki/Hogan%27s_Alley_(video_game),Light gun shooter,True
Hollywood Squares,Rare,GameTek,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Hollywood_Squares_%28NES_video_game%29_boaxart.jpg/220px-Hollywood_Squares_%28NES_video_game%29_boaxart.jpg,https://en.wikipedia.org/wiki/Hollywood_Squares_(video_game),Puzzle,True
Home Alone,Bethesda Softworks,THQ,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/HomeAlone1game.jpg/220px-HomeAlone1game.jpg,https://en.wikipedia.org/wiki/Home_Alone_(video_game),Action,False
Home Alone 2: Lost in New York,Imagineering,THQ,THQ,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/HomeAlone2LINY.jpg/220px-HomeAlone2LINY.jpg,https://en.wikipedia.org/wiki/Home_Alone_2:_Lost_in_New_York_(video_game),Action,False
Hook,Painting by Numbers,Sony Imagesoft,Ocean Software,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/Hook_game_cover_art.jpg/220px-Hook_game_cover_art.jpg,https://en.wikipedia.org/wiki/Hook_(video_game),Beat 'em up ,True
Hoops,Aicom,Jaleco,Jaleco,1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Hoops_Cover.jpg/220px-Hoops_Cover.jpg,https://en.wikipedia.org/wiki/Hoops_(1988_video_game),Half-court basketball,True
Hudson Hawk,Special FX,Sony Imagesoft,Ocean Software,1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Hudson_Hawk_-_cover_art_%28NES%29.jpg/220px-Hudson_Hawk_-_cover_art_%28NES%29.jpg,https://en.wikipedia.org/wiki/Hudson_Hawk_(video_game),Platform game,False
The Hunt for Red October,Beam Software,Hi Tech Expressions,Hi Tech Expressions,1991,1992,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/The_Hunt_for_Red_October_cover.jpg/220px-The_Hunt_for_Red_October_cover.jpg,https://en.wikipedia.org/wiki/The_Hunt_for_Red_October_(console_game),Side scroller,False
Hydlide,T&E Soft,FCI,Unreleased,1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Hydlide_Cover.jpg/220px-Hydlide_Cover.jpg,https://en.wikipedia.org/wiki/Hydlide,Action role-playing,False
Ice Climber,Nintendo Research & Development 1,Nintendo,Nintendo,1985,1986,https://upload.wikimedia.org/wikipedia/en/thumb/d/df/IceClimberboxartnes.jpg/220px-IceClimberboxartnes.jpg,https://en.wikipedia.org/wiki/Ice_Climber,Platform,True
Ice Hockey,Nintendo Research & Development 2,Nintendo,Nintendo,1988,1988,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Icehockeyvideogame.jpg/220px-Icehockeyvideogame.jpg,https://en.wikipedia.org/wiki/Ice_Hockey_(1988_video_game),Sports,True
Ikari Warriors,Micronics,SNK,SNK,1987,1989,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Ikari_flyer.png/220px-Ikari_flyer.png,https://en.wikipedia.org/wiki/Ikari_Warriors,Run-and-gun shooter,True
Ikari Warriors II: Victory Road,Micronics,SNK,Unreleased,1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Victory_Road.png/220px-Victory_Road.png,https://en.wikipedia.org/wiki/Ikari_Warriors_II:_Victory_Road,Run-and-gun shooter,True
Ikari III: The Rescue,SNK,SNK,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Ikari_III.png/220px-Ikari_III.png,https://en.wikipedia.org/wiki/Ikari_III:_The_Rescue,Run and gun,True
Image Fight,Lenar,Irem,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/ImageFight_arcadeflyer.png/220px-ImageFight_arcadeflyer.png,https://en.wikipedia.org/wiki/Image_Fight,Scrolling shooter,False
The Immortal,Sandcastle,Electronic Arts,Unreleased,1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/The_Immortal_cover_Apple_IIGS.jpg/220px-The_Immortal_cover_Apple_IIGS.jpg,https://en.wikipedia.org/wiki/The_Immortal_(video_game),Action-adventure,False
The Incredible Crash Dummies,Software Creations,LJN,LJN,1994,1993,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/The_Incredible_Crash_Dummies_cover.jpg/220px-The_Incredible_Crash_Dummies_cover.jpg,https://en.wikipedia.org/wiki/The_Incredible_Crash_Dummies_(video_game),Action,True
Indiana Jones and the Last Crusade,Software Creations,Taito,Unreleased,1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Indiana_Jones_and_the_Last_Crusade_%281991%29_Coverart.png/220px-Indiana_Jones_and_the_Last_Crusade_%281991%29_Coverart.png,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade_(1991_video_game),Action,False
