title,wiki_link,developer,publisher_na,publisher_eu,release_na,release_eu,img,genre,mode
Lemmings,https://en.wikipedia.org/wiki/Lemmings_(video_game),Ocean Software,Sunsoft,Sunsoft,November 1992,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Lemmings-BoxScan.jpg/220px-Lemmings-BoxScan.jpg,"Puzzle, Strategy","Single-player, multiplayer"
L'Empereur,https://en.wikipedia.org/wiki/L%27Empereur,Koei,Koei,Unreleased,November 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/L%27_Empereur_cover.jpg/220px-L%27_Empereur_cover.jpg,Turn-based strategy,Single-player
Les Chevaliers du Zodiaque: La Légende d'or,https://en.wikipedia.org/wiki/Saint_Seiya#Video_games,TOSE,Unreleased,Bandai[7],Unreleased,1987,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Couverture01j.jpg/220px-Couverture01j.jpg,,
Lethal Weapon,https://en.wikipedia.org/wiki/Lethal_Weapon_(video_game),Eurocom,Ocean Software,Ocean Software,April 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Lethal_Weapon_Coverart.png/220px-Lethal_Weapon_Coverart.png,Action,Single-player
Life Force (NA)Life Force Salamander (EU),https://en.wikipedia.org/wiki/Salamander_(video_game)#Nintendo_Entertainment_System,Konami,Konami,Konami,August 1988,"November 23, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Salamander_flyer.png/220px-Salamander_flyer.png,Scrolling shooter,"Single-player, cooperative"
Little League Baseball: Championship Series,https://en.wikipedia.org/wiki/Little_League_Baseball:_Championship_Series,SNK,SNK,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/LittleLeagueBaseballBoxShotNES.jpg/220px-LittleLeagueBaseballBoxShotNES.jpg,Arcade baseball[1],Single-player[2]  Multiplayer[2]
Little Nemo: The Dream Master,https://en.wikipedia.org/wiki/Little_Nemo:_The_Dream_Master,Capcom,Capcom,Nintendo,September 1990,"December 12, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Littlenemocover.png/220px-Littlenemocover.png,Platform,Single-player
Little Ninja Brothers,https://en.wikipedia.org/wiki/Little_Ninja_Brothers,Culture Brain,Culture Brain,Culture Brain,December 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Littleninjabrothers-label.jpg/155px-Littleninjabrothers-label.jpg,Action RPG,Single player
Little Samson,https://en.wikipedia.org/wiki/Little_Samson,Takeru,Taito,Taito,November 1992,"March 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Nintendo_Entertainment_System_Little_Samson_cover_art.jpg/220px-Nintendo_Entertainment_System_Little_Samson_cover_art.jpg,Platform,Single-player
Lode Runner,https://en.wikipedia.org/wiki/Lode_Runner,Hudson Soft,Brøderbund,Unreleased,September 1987,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Lode_Runner_Coverart.png/220px-Lode_Runner_Coverart.png,Puzzle-platform,Single-player
The Lone Ranger,https://en.wikipedia.org/wiki/The_Lone_Ranger_(video_game),Konami,Konami,Unreleased,August 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/The_Lone_Ranger_for_NES_%28cover%29.jpg/220px-The_Lone_Ranger_for_NES_%28cover%29.jpg,Action-adventure,Single-player
Loopz,https://en.wikipedia.org/wiki/Loopz,"Audiogenic, Milestone srl",Mindscape,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Loopz_Coverart.png/220px-Loopz_Coverart.png,Puzzle,Single-player
Low G Man: The Low Gravity Man,https://en.wikipedia.org/wiki/Low_G_Man:_The_Low_Gravity_Man,KID,Taxan,Nintendo,September 1990,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/8c/Nintendo_Entertainment_System_Low_G_Man_-_The_Low_Gravity_Man_cover_art.jpg/220px-Nintendo_Entertainment_System_Low_G_Man_-_The_Low_Gravity_Man_cover_art.jpg,"Action, platform",Single-player
Lunar Pool,https://en.wikipedia.org/wiki/Lunar_Pool,Compile,FCI,FCI,October 1987,1987,https://upload.wikimedia.org/wikipedia/en/2/25/LunarPoolNESBoxart.jpg,Cue sports,"Single-player, multiplayer"
M.C. Kids (NA)McDonaldland (EU),https://en.wikipedia.org/wiki/M.C._Kids,Virgin Interactive,Virgin Interactive,Ocean Software,February 1992,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/8/89/M.C._Kids_cover.png/220px-M.C._Kids_cover.png,Platform game,"Single-player, Two-player"
M.U.L.E.,https://en.wikipedia.org/wiki/M.U.L.E.,Eastridge Technology,Mindscape,Unreleased,September 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Mule_box.jpg/220px-Mule_box.jpg,Business simulation game,Single-player2-4 player multiplayer
M.U.S.C.L.E.,https://en.wikipedia.org/wiki/M.U.S.C.L.E._(video_game),TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/MUSCLE_game.jpg/220px-MUSCLE_game.jpg,Action  Wrestling,Single-player  Multiplayer (up to two players)
Mach Rider,https://en.wikipedia.org/wiki/Mach_Rider,Nintendo,Nintendo,Nintendo,August 1986,1987,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Mach_rider_boxart.png/220px-Mach_rider_boxart.png,Vehicular combat,Single-player
Mad Max,https://en.wikipedia.org/wiki/Mad_Max_(1990_video_game),Eastridge Technology,Mindscape,Unreleased,July 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Mad_Max_Coverart.png/220px-Mad_Max_Coverart.png,Action,Single-player
The Mafat Conspiracy: Golgo 13,https://en.wikipedia.org/wiki/The_Mafat_Conspiracy,Aicom,Vic Tokai,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/The_Mafat_Conspiracy_cover.jpg/220px-The_Mafat_Conspiracy_cover.jpg,Action adventure,Single-player
Magic Darts,https://en.wikipedia.org/wiki/Magic_Darts,SETA,Romstar,Unreleased,September 1991,Unreleased,,Sports,"Single-player, Multiplayer"
Magic Johnson's Fast Break,https://en.wikipedia.org/wiki/Magic_Johnson%27s_Fast_Break,Software Creations,Tradewest,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Magic_Johnson%27s_Basketball_Coverart.png/220px-Magic_Johnson%27s_Basketball_Coverart.png,Sports (basketball),"Single-player, two-player, four-player (NES)"
The Magic of Scheherazade,https://en.wikipedia.org/wiki/The_Magic_of_Scheherazade,Culture Brain,Culture Brain,Unreleased,January 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Magic_of_Scherezade.JPG/220px-Magic_of_Scherezade.JPG,Action-adventureRole-playing,Single-player
Magician,https://en.wikipedia.org/wiki/Magician_(video_game),Eurocom,Taxan,Unreleased,March 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Magician_Cover.jpg/220px-Magician_Cover.jpg,Action role-playing game,Single-player
MagMax,https://en.wikipedia.org/wiki/MagMax,Nihon Bussan,FCI,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/MagMax_Cover.jpg/250px-MagMax_Cover.jpg,Horizontally scrolling shooter,
Mah Jong[c],https://en.wikipedia.org/wiki/Mahjong_video_game,Nintendo,Unreleased,Unreleased,Unreleased,Unreleased,,,
Major League Baseball,https://en.wikipedia.org/wiki/Major_League_Baseball_(video_game),Atlus,LJN,Unreleased,April 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/MajorLeagueBaseballLJNCover.jpg/220px-MajorLeagueBaseballLJNCover.jpg,Sports (with 3D graphics)[1],Single-player  Multiplayer (up to 2 players)
Maniac Mansion,https://en.wikipedia.org/wiki/Maniac_Mansion,"Lucasfilm Games, Realtime Associates",Jaleco,Jaleco,September 1990,"October 22, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Maniac_Mansion_artwork.jpg/220px-Maniac_Mansion_artwork.jpg,Graphic adventure,Single-player
Mappy-Land,https://en.wikipedia.org/wiki/Mappy-Land,TOSE,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Mappy_Land_box_art.jpg/220px-Mappy_Land_box_art.jpg,Platform game,Single-player
Marble Madness,https://en.wikipedia.org/wiki/Marble_Madness,Rare,Milton Bradley Company,Milton Bradley Company,March 1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/MarbleMadness_arcadeflyer.png/220px-MarbleMadness_arcadeflyer.png,"Platform, racing",Up to 2 players simultaneously
Mario Bros.,https://en.wikipedia.org/wiki/Mario_Bros.,Nintendo Research & Development 1,Nintendo,Nintendo,"June 1, 1986","September 1, 1986",https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mariobrothers.png/220px-Mariobrothers.png,Platform,"Single-player, multiplayer"
Mario Bros. (Classic Series),https://en.wikipedia.org/wiki/Mario_Bros.,Nintendo Research & Development 1,Unreleased,Nintendo,Unreleased,1993,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mariobrothers.png/220px-Mariobrothers.png,Platform,"Single-player, multiplayer"
Mario Is Missing!,https://en.wikipedia.org/wiki/Mario_Is_Missing!,Radical Entertainment,Software Toolworks,Mindscape,July 1993,June 1994,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Mario_Is_Missing_cover.jpg/220px-Mario_Is_Missing_cover.jpg,Educational,Single-player
Mario's Time Machine,https://en.wikipedia.org/wiki/Mario%27s_Time_Machine,Radical Entertainment,Software Toolworks,Unreleased,June 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Mario%27s_Time_Machine_SNES.jpg/250px-Mario%27s_Time_Machine_SNES.jpg,Educational,Single-player
Mechanized Attack,https://en.wikipedia.org/wiki/Mechanized_Attack,SNK,SNK,Unreleased,June 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/MechanizedAttack.jpg/220px-MechanizedAttack.jpg,Rail shooter,Single-player
Mega Man,https://en.wikipedia.org/wiki/Mega_Man_(video_game),Capcom,Capcom,Capcom,December 1987,"December 13, 1989",https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Rockman_1987.jpg/220px-Rockman_1987.jpg,"Action, platform",Single-player
Mega Man 2[a],https://en.wikipedia.org/wiki/Mega_Man_2,Capcom,Capcom,Capcom,June 1989,"December 14, 1990",https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Megaman2_box.jpg/220px-Megaman2_box.jpg,"Action, platform",Single-player
Mega Man 3,https://en.wikipedia.org/wiki/Mega_Man_3,Capcom,Capcom,Nintendo,November 1990,"February 20, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Megaman3_box.jpg/220px-Megaman3_box.jpg,"Action, platform",Single-player
Mega Man 4,https://en.wikipedia.org/wiki/Mega_Man_4,Capcom,Capcom,Nintendo,January 1992,"January 21, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Megaman4_box.jpg/220px-Megaman4_box.jpg,"Action, platform",Single-player
Mega Man 5,https://en.wikipedia.org/wiki/Mega_Man_5,Capcom,Capcom,Nintendo,December 1992,"November 18, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Megaman5_box.jpg/220px-Megaman5_box.jpg,"Action, platform",Single-player
Mega Man 6,https://en.wikipedia.org/wiki/Mega_Man_6,Capcom,Nintendo,Unreleased,March 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Megaman6_box.jpg/220px-Megaman6_box.jpg,"Action, platform",Single-player
Mendel Palace,https://en.wikipedia.org/wiki/Mendel_Palace,Game Freak,Hudson Soft,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Mendel_Palace_Cover.jpg/220px-Mendel_Palace_Cover.jpg,"Action, puzzle","Single-player, multiplayer"
Metal Gear,https://en.wikipedia.org/wiki/Metal_Gear_(video_game),Konami,Ultra Games,Konami,June 1988,1989,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Metal_Gear_cover.jpg/250px-Metal_Gear_cover.jpg,"Action-adventure, stealth",Single-player
Metal Mech: Man & Machine,https://en.wikipedia.org/wiki/Metal_Mech,Sculptured Software,Jaleco,Unreleased,March 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/MetalMechManMachineBoxShotNES.jpg/220px-MetalMechManMachineBoxShotNES.jpg,Action[1],Single-player[3]
Metal Storm,https://en.wikipedia.org/wiki/Metal_Storm_(video_game),Tamtex,Irem,Unreleased,February 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Metal_Storm_North_American_NES_box_art.jpg/220px-Metal_Storm_North_American_NES_box_art.jpg,"Action, platforming",Single-player
Metroid,https://en.wikipedia.org/wiki/Metroid_(video_game),"Nintendo Research & Development 1, Intelligent Systems",Nintendo,Nintendo,"August 15, 1987","January 15, 1988",https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/Metroid_boxart.jpg/220px-Metroid_boxart.jpg,Action-adventure,Single-player
Michael Andretti's World GP,https://en.wikipedia.org/wiki/Michael_Andretti%27s_World_GP,Human Entertainment,American Sammy,Unreleased,June 1990,Unreleased,,Racing,"Single-player, multiplayer"
Mickey Mousecapade,https://en.wikipedia.org/wiki/Mickey_Mousecapade,Hudson Soft,Capcom,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/MickeyMousecapadeBoxart.jpg/220px-MickeyMousecapadeBoxart.jpg,Platformer,Single-player
Mickey's Adventures in Numberland,https://en.wikipedia.org/wiki/Mickey%27s_Adventures_in_Numberland,Beam Software,Hi Tech Expressions,Unreleased,March 1994,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Mickey%27s_Adventures_in_Numberland_Cover.jpg/220px-Mickey%27s_Adventures_in_Numberland_Cover.jpg,Edutainment,Single-player
Mickey's Safari in Letterland,https://en.wikipedia.org/wiki/Mickey%27s_Safari_in_Letterland,Beam Software,Hi Tech Expressions,Unreleased,March 1993,Unreleased,,Edutainment[1]platformer,Single-player
Might and Magic Book One: The Secret of the Inner Sanctum,https://en.wikipedia.org/wiki/Might_and_Magic_Book_One:_The_Secret_of_the_Inner_Sanctum,New World Computing,American Sammy,Unreleased,August 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/M%26MI.jpg/220px-M%26MI.jpg,Role-playing,Single-player
Mighty Bomb Jack,https://en.wikipedia.org/wiki/Mighty_Bomb_Jack,Tecmo,Tecmo,Tecmo,July 1987,1987,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Mighty_Bomb_Jack_cover.jpg/220px-Mighty_Bomb_Jack_cover.jpg,Platform,Single-player2-player alternating
Mighty Final Fight,https://en.wikipedia.org/wiki/Mighty_Final_Fight,Capcom,Capcom,Capcom,July 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Mighty_Final_Fight_%28American_cover%29.jpg/220px-Mighty_Final_Fight_%28American_cover%29.jpg,Beat 'em up,Single-player
Mike Tyson's Punch-Out!!,https://en.wikipedia.org/wiki/Punch-Out!!_(NES),Nintendo Research & Development 3,Nintendo,Nintendo,"October 18, 1987","December 15, 1987",https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Punch-out_mrdream_boxart.PNG/220px-Punch-out_mrdream_boxart.PNG,Sports (boxing)  Fighting,Single-player
Millipede,https://en.wikipedia.org/wiki/Millipede_(video_game),HAL Laboratory,HAL America,Unreleased,October 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Millipede_Poster.png/225px-Millipede_Poster.png,Fixed shooter,"Single-player, 2 players alternating"
Milon's Secret Castle,https://en.wikipedia.org/wiki/Milon%27s_Secret_Castle,Hudson Soft,Hudson Soft,Unreleased,September 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Milon%27s_Secret_Castle_cover.jpg/220px-Milon%27s_Secret_Castle_cover.jpg,"Action, puzzle",Single-player
The Miracle Piano Teaching System,https://en.wikipedia.org/wiki/Miracle_Piano_Teaching_System,Software Toolworks,Software Toolworks,Mindscape,1990,1990,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Miracle_Piano_Teaching_System_cover.jpg/220px-Miracle_Piano_Teaching_System_cover.jpg,"music, non-game",Single player
Mission: Impossible,https://en.wikipedia.org/wiki/Mission:_Impossible_(Nintendo_Entertainment_System),Konami,Ultra Games,Palcom Software,September 1990,"November 28, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/MissionImpossibleNESBoxart.jpg/220px-MissionImpossibleNESBoxart.jpg,"Action, Third-person shooter",Single-player
Monopoly,https://en.wikipedia.org/wiki/Monopoly_(1991_video_game),Sculptured Software,Parker Brothers,Parker Brothers,May 1991,October 1992,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Monopoly_%281991%29_Video_Game_Cover.jpg/220px-Monopoly_%281991%29_Video_Game_Cover.jpg,"Strategy, board game",
Monster in My Pocket,https://en.wikipedia.org/wiki/Monster_in_My_Pocket,Konami,Konami,Palcom Software,January 1992,1992,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Monster_in_my_Pocket_cover_%28NES%29.PNG/220px-Monster_in_my_Pocket_cover_%28NES%29.PNG,Platformer,"Single Player, Co-op"
Monster Party,https://en.wikipedia.org/wiki/Monster_Party,Human Entertainment,Bandai,Unreleased,June 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Monster_Party_Box.JPG/220px-Monster_Party_Box.JPG,Platform game,Single player
Monster Truck Rally,https://en.wikipedia.org/wiki/Monster_Truck_Rally_(video_game),Realtime Associates,INTV,Unreleased,September 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/57/MonsterTruckRallyBoxShotNES.jpg/220px-MonsterTruckRallyBoxShotNES.jpg,Off-road racing,"Single-player, multiplayer (1–4 players), Track Builder"
Motor City Patrol,https://en.wikipedia.org/wiki/Motor_City_Patrol,Source Research & Development,Matchbox,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Motor_City_Patrol_Cover.jpg/220px-Motor_City_Patrol_Cover.jpg,Mission-based driving[1],Single-player
Mr. Gimmick,https://en.wikipedia.org/wiki/Gimmick!,Sunsoft,Unreleased,Sunsoft,Unreleased,"May 19, 1993",https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Gimmick_boxart.PNG/220px-Gimmick_boxart.PNG,Platform,Single-player
Ms. Pac-Man,https://en.wikipedia.org/wiki/Ms._Pac-Man,Now Production,Namco,Unreleased,November 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Ms._Pac-Man_flyer.png/220px-Ms._Pac-Man_flyer.png,Maze,"Single-player, multiplayer (alternating turns)"
Muppet Adventure: Chaos at the Carnival,https://en.wikipedia.org/wiki/Muppet_Adventure:_Chaos_at_the_Carnival,Mind's Eye,Hi Tech Expressions,Unreleased,November 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Muppet_Adventure_Chaos_at_the_Carnival_Cover.jpg/220px-Muppet_Adventure_Chaos_at_the_Carnival_Cover.jpg,Action,"Single-player, multiplayer"
The Mutant Virus: Crisis in a Computer World,https://en.wikipedia.org/wiki/The_Mutant_Virus:_Crisis_in_a_Computer_World,Rocket Science Productions,American Softworks,Unreleased,April 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/The_Mutant_Virus_-_Crisis_in_a_Computer_World_Coverart.jpg/220px-The_Mutant_Virus_-_Crisis_in_a_Computer_World_Coverart.jpg,Action[1],Single-player
Mystery Quest,https://en.wikipedia.org/wiki/Mystery_Quest_(video_game),Carry Lab,Taxan,Unreleased,April 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/MysteryQuestNABoxart.jpg/220px-MysteryQuestNABoxart.jpg,Platform,Single-player
NARC,https://en.wikipedia.org/wiki/Narc_(video_game),Rare,Acclaim Entertainment,Unreleased,August 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Narc_arcade_flyer.png/220px-Narc_arcade_flyer.png,Run and gun,Up to 2 players simultaneously
NES Open Tournament Golf,https://en.wikipedia.org/wiki/NES_Open_Tournament_Golf,Nintendo Research & Development 2,Nintendo,Nintendo,"September 29, 1991","June 18, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Nesopen.jpg/220px-Nesopen.jpg,Sports,Multiplayer
NES Play Action Football,https://en.wikipedia.org/wiki/NES_Play_Action_Football,TOSE,Nintendo,Unreleased,September 1990,Unreleased,,Traditional football simulation[1],"Single-player, multiplayer"
New Ghostbusters II,https://en.wikipedia.org/wiki/New_Ghostbusters_II,HAL Laboratory,Unreleased,HAL Laboratory,Unreleased,1990,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/New_Ghostbusters_2_Coverart.png/220px-New_Ghostbusters_2_Coverart.png,Action,Single-player
NFL Football,https://en.wikipedia.org/wiki/NFL_(video_game),Atlus,LJN,Unreleased,September 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/NFL_Football_1988_NES_cover.jpg/220px-NFL_Football_1988_NES_cover.jpg,Traditional football simulation[1][2],Single-player  Multiplayer (up to two players[5])
Nigel Mansell's World Championship Racing,https://en.wikipedia.org/wiki/Nigel_Mansell%27s_World_Championship_Racing,Gremlin Graphics,GameTek,Gremlin Interactive,October 1993,1993,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Nigel_Mansell%27s_World_Championship_Racing_Cover.jpg/220px-Nigel_Mansell%27s_World_Championship_Racing_Cover.jpg,Racing,Single-player
A Nightmare on Elm Street,https://en.wikipedia.org/wiki/A_Nightmare_on_Elm_Street_(video_game),Rare,LJN,Unreleased,October 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/A_Nightmare_on_Elm_Street_NES_box_art.jpg/220px-A_Nightmare_on_Elm_Street_NES_box_art.jpg,Platforming,Single-player 
Nightshade,https://en.wikipedia.org/wiki/Nightshade_(1991_video_game),Beam Software,Ultra Games,Unreleased,January 1992,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Nightshade_%28NES%29_Coverart.png/220px-Nightshade_%28NES%29_Coverart.png,Action-adventure,Single-player
Ninja Crusaders,https://en.wikipedia.org/wiki/Ninja_Crusaders,NMK,American Sammy,Unreleased,December 1990,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/NinjaCrusdaersJPBoxShotNES.jpg/220px-NinjaCrusdaersJPBoxShotNES.jpg,2D action platformer[1],Single-player or multiplayer (up to 2 players)
Ninja Gaiden (NA)Shadow Warriors (EU),https://en.wikipedia.org/wiki/Ninja_Gaiden_(Nintendo_Entertainment_System),Tecmo,Tecmo,Tecmo,March 1989,"August 15, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Ninja_Gaiden_%28NES%29.jpg/220px-Ninja_Gaiden_%28NES%29.jpg,"Platform, hack-and-slash[2]",Single-player
Ninja Gaiden II: The Dark Sword of Chaos (NA)Shadow Warriors II (EU),https://en.wikipedia.org/wiki/Ninja_Gaiden_II:_The_Dark_Sword_of_Chaos,Tecmo,Tecmo,Tecmo,May 1990,"October 27, 1994",https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Ninja_Gaiden_II-_The_Dark_Sword_of_Chaos_boxart.jpg/220px-Ninja_Gaiden_II-_The_Dark_Sword_of_Chaos_boxart.jpg,Platform,Single-player
Ninja Gaiden III: The Ancient Ship of Doom,https://en.wikipedia.org/wiki/Ninja_Gaiden_III:_The_Ancient_Ship_of_Doom,Tecmo,Tecmo,Unreleased,August 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Ninja_Gaiden_III_The_Ancient_Ship_of_Doom.jpg/220px-Ninja_Gaiden_III_The_Ancient_Ship_of_Doom.jpg,Platform,Single-player
Ninja Kid,https://en.wikipedia.org/wiki/Ninja_Kid,TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/Ninja_kid.png/220px-Ninja_kid.png,Platform/Action,Single-player
Nintendo World Cup,https://en.wikipedia.org/wiki/Nintendo_World_Cup,Technōs Japan,Nintendo,Nintendo,December 1990,"June 27, 1991",https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Nintendo_World_Cup_Cover.jpg/220px-Nintendo_World_Cup_Cover.jpg,Association football video game ,"Tournament (1–2 players against CPU), VS Match (2–4 players)"
Noah's Ark,https://en.wikipedia.org/wiki/Noah%27s_Ark_(video_game),Source Research & Development,Unreleased,Konami,Unreleased,1992,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Noah%27s_Ark_NES_cover.jpg/220px-Noah%27s_Ark_NES_cover.jpg,Platform,Single-player
Nobunaga's Ambition,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition,Koei,Koei,Unreleased,June 1989,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Nobunagas_ambition_gen.jpg/250px-Nobunagas_ambition_gen.jpg,"Wargame, turn-based strategy, tactical role-playing",
Nobunaga's Ambition II,https://en.wikipedia.org/wiki/Nobunaga%27s_Ambition_II,Koei,Koei,Unreleased,April 1991,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Nobunagas_ambition_gen.jpg/250px-Nobunagas_ambition_gen.jpg,"Wargame, turn-based strategy, tactical role-playing",
North & South,https://en.wikipedia.org/wiki/North_%26_South_(video_game),Kemco,Kemco*Seika,Infogrames,December 1990,"January 23, 1992",https://upload.wikimedia.org/wikipedia/en/thumb/7/72/North_%26_South_Coverart.png/220px-North_%26_South_Coverart.png,"Strategy, action","Single-player, two player"
Operation Wolf,https://en.wikipedia.org/wiki/Operation_Wolf,Taito,Taito,Taito,May 1989,1992,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Operation_Wolf_Poster.png/220px-Operation_Wolf_Poster.png,Light gun shooter,Single-player
Orb-3D,https://en.wikipedia.org/wiki/Hi_Tech_Expressions,Software Toolworks,Hi Tech Expressions,Unreleased,October 1990,Unreleased,,,
Othello,https://en.wikipedia.org/wiki/Othello_(1986_video_game),HAL Laboratory,Acclaim Entertainment,Unreleased,December 1988,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Othello_%28video_game_-_box_art%29.jpg/250px-Othello_%28video_game_-_box_art%29.jpg,Chess video game ,
Over Horizon,https://en.wikipedia.org/wiki/Over_Horizon,"Pixel, Hot-B",Unreleased,Takara,Unreleased,1991,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Nintendo_Entertainment_System_Over_Horizon_cover_art.jpg/220px-Nintendo_Entertainment_System_Over_Horizon_cover_art.jpg,Scrolling shooter,Single-player
Overlord,https://en.wikipedia.org/wiki/Overlord_(1990_video_game),Probe Software,Virgin Interactive,Unreleased,January 1993,Unreleased,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Overlord_%281990%29_Coverart.png/220px-Overlord_%281990%29_Coverart.png,Strategy,Single-player
P.O.W.: Prisoners of War,https://en.wikipedia.org/wiki/P.O.W.:_Prisoners_of_War,SNK,SNK,SNK,September 1989,1989,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/P.O.W._Prisoners_of_War_arcadeflyer.png/250px-P.O.W._Prisoners_of_War_arcadeflyer.png,Beat 'em up,"Single player, 2 player Co-op"
